time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1511.25,363.75,2371.5,372.1875,1888.125,600.375,1788.375,538.6875,38.82,38.99
0.1,1511.0625,363.75,2371.3125,372,1887.9375,600.375,1788.1875,538.5,38.76,39.41
0.2,1510.875,363.75,2371.3125,372,1887.9375,600.375,1788,538.3125,38.76,39.39
0.3,1510.875,363.5625,2371.3125,372,1887.9375,600.375,1788,538.125,38.76,39.38
0.4,1510.5,363.75,2371.125,372,1887.75,600.375,1788,535.6875,38.78,39.36
0.5,1510.5,363.75,2371.125,371.8125,1887.75,600.375,1787.8125,535.5,38.75,39.32
0.6,1510.3125,363.75,2371.125,372,1887.75,600.1875,1787.8125,534.5625,38.76,39.39
0.7,1510.125,363.75,2370.9375,371.8125,1887.5625,600.1875,1787.8125,532.3125,38.75,39.36
0.8,1509.9375,363.75,2370.9375,371.625,1887.5625,600.375,1787.625,532.5,38.78,39.38
0.9,1509.9375,363.5625,2370.75,371.625,1887.5625,600.1875,1787.4375,532.3125,38.78,39.32
1.0,1509.75,363.75,2370.75,371.625,1887.5625,600.1875,1787.25,532.875,38.78,39.32
1.1,1509.5625,363.5625,2370.5625,371.625,1887.5625,600,1787.25,533.625,38.76,39.32
1.2,1509.375,363.75,2370.5625,371.625,1887.375,600,1787.0625,534.1875,38.79,39.37
1.3,1509.1875,363.5625,2370.375,371.625,1887.375,600,1786.875,533.8125,38.76,39.33
1.4,1509,363.5625,2370.1875,371.625,1887.1875,600,1787.0625,533.8125,38.8,39.32
1.5,1508.8125,363.5625,2370,371.4375,1887.1875,600,1786.875,533.625,38.76,39.32
1.6,1508.625,363.5625,2370,371.4375,1887.1875,600,1786.6875,533.4375,38.78,39.31
1.7,1508.625,363.5625,2370,371.4375,1887,600,1786.6875,532.5,38.78,39.31
1.8,1508.625,363.5625,2369.8125,371.4375,1887,599.8125,1786.6875,534.1875,38.78,39.29
1.9,1508.25,363.5625,2369.625,371.25,1887,599.8125,1786.5,535.125,38.79,39.26
2.0,1508.25,363.5625,2369.4375,371.4375,1887,599.8125,1786.5,535.5,38.78,39.28
2.1,1507.875,363.5625,2369.4375,371.25,1887,599.625,1786.5,537.75,38.79,39.22
2.2,1507.875,363.5625,2369.4375,371.25,1886.8125,599.625,1786.3125,538.875,38.76,39.3
2.3,1507.6875,363.5625,2369.4375,371.25,1886.8125,599.625,1786.125,539.25,38.8,39.28
2.4,1507.6875,363.5625,2369.0625,371.25,1886.8125,599.625,1786.125,538.125,38.79,39.26
2.5,1507.5,363.5625,2368.875,371.25,1886.8125,599.625,1785.9375,537.75,38.78,39.26
2.6,1507.3125,363.5625,2368.875,371.25,1886.8125,599.25,1785.75,537.1875,38.8,39.24
2.7,1507.125,363.5625,2368.6875,371.0625,1886.625,599.4375,1785.5625,538.6875,38.8,39.24
2.8,1506.9375,363.5625,2368.6875,371.0625,1886.625,599.25,1785.5625,537.5625,38.78,39.22
2.9,1506.75,363.5625,2368.5,371.0625,1886.4375,599.25,1785.375,537.375,38.76,39.2
3.0,1506.75,363.5625,2368.5,371.0625,1886.4375,599.25,1785.375,536.8125,38.79,39.22
3.1,1506.5625,363.5625,2368.5,371.0625,1886.4375,599.25,1785.1875,536.8125,38.78,39.22
3.2,1506.375,363.5625,2368.3125,371.0625,1886.25,599.25,1785,535.125,38.78,39.19
3.3,1506.1875,363.5625,2368.3125,371.0625,1886.25,599.0625,1785,532.6875,38.78,39.11
3.4,1506.1875,363.5625,2367.9375,371.0625,1886.25,599.0625,1785,531.75,38.79,39.19
3.5,1506,363.375,2367.9375,370.875,1886.25,599.0625,1784.625,532.6875,38.8,39.15
3.6,1506,363.375,2368.125,371.0625,1886.25,598.875,1784.4375,533.4375,38.78,39.16
3.7,1505.8125,363.5625,2367.9375,370.875,1886.25,599.0625,1784.4375,533.0625,38.79,39.18
3.8,1505.625,363.375,2367.75,370.875,1886.25,599.0625,1784.4375,533.4375,38.76,39.16
3.9,1505.625,363.5625,2367.5625,370.875,1886.25,598.875,1784.4375,534,38.78,39.19
4.0,1505.4375,363.5625,2367.5625,370.875,1886.25,598.875,1784.25,533.8125,38.79,39.16
4.1,1505.4375,363.375,2367.5625,370.875,1886.25,598.875,1784.25,533.8125,38.8,39.15
4.2,1505.25,363.5625,2367.375,370.875,1886.25,598.875,1784.0625,533.0625,38.79,39.11
4.3,1505.25,363.375,2367.1875,370.875,1886.25,598.875,1783.875,534.1875,38.79,39.1
4.4,1505.0625,363.5625,2367.1875,370.875,1886.25,598.875,1783.875,534.1875,38.76,39.16
4.5,1505.0625,363.5625,2367.1875,370.875,1886.25,598.6875,1783.875,534,38.78,39.1
4.6,1504.875,363.375,2367,370.875,1886.25,598.875,1783.6875,533.8125,38.78,39.15
4.7,1504.875,363.375,2367,370.875,1886.4375,598.875,1783.875,536.4375,38.78,39.17
4.8,1504.6875,363.375,2367,370.875,1886.25,598.875,1783.6875,537.75,38.79,39.19
4.9,1504.6875,363.375,2366.625,370.875,1886.4375,598.875,1783.6875,538.125,38.79,39.19
5.0,1504.6875,363.375,2366.625,371.0625,1886.4375,598.875,1783.5,538.6875,38.78,39.13
5.1,1504.5,363.5625,2366.625,370.875,1886.4375,598.875,1783.5,537.75,38.79,39.13
5.2,1504.5,363.375,2366.625,370.875,1886.4375,598.875,1783.5,538.5,38.78,39.17
5.3,1504.3125,363.375,2366.4375,371.0625,1886.4375,598.875,1783.3125,537.1875,38.79,39.18
5.4,1504.3125,363.375,2366.4375,371.0625,1886.4375,598.875,1783.3125,537.375,38.79,39.13
5.5,1504.3125,363.375,2366.4375,371.0625,1886.4375,598.875,1783.3125,537.1875,38.78,39.15
5.6,1504.125,363.375,2366.4375,371.0625,1886.4375,599.0625,1783.125,537.375,38.78,39.11
5.7,1504.125,363.375,2366.4375,371.0625,1886.4375,598.875,1783.125,537.5625,38.8,39.16
5.8,1504.125,363.5625,2366.0625,371.0625,1886.4375,599.0625,1782.9375,536.4375,38.79,39.16
5.9,1503.9375,363.375,2366.0625,371.0625,1886.4375,599.0625,1782.9375,534.9375,38.78,39.16
6.0,1503.9375,363.375,2366.0625,371.0625,1886.4375,599.0625,1782.75,533.625,38.78,39.16
6.1,1503.75,363.375,2365.875,371.0625,1886.4375,599.0625,1782.9375,533.4375,38.78,39.16
6.2,1503.75,363.375,2365.6875,371.0625,1886.4375,599.0625,1782.75,531.9375,38.76,39.17
6.3,1503.75,363.375,2365.875,370.875,1886.4375,599.0625,1782.5625,532.5,38.78,39.15
6.4,1503.5625,363.375,2365.6875,371.0625,1886.4375,599.25,1782.5625,532.875,38.78,39.25
6.5,1503.375,363.375,2365.6875,371.0625,1886.625,599.0625,1782.375,533.625,38.78,39.15
6.6,1503.375,363.375,2365.6875,371.0625,1886.4375,599.25,1782.5625,533.625,38.79,39.13
6.7,1503.375,363.375,2365.5,371.0625,1886.625,599.25,1782.5625,534.1875,38.79,39.15
6.8,1503.375,363.375,2365.5,371.0625,1886.625,599.25,1782.1875,533.8125,38.78,39.15
6.9,1503.1875,363.375,2365.5,371.0625,1886.625,599.25,1782.375,533.8125,38.78,39.22
7.0,1503.1875,363.375,2365.5,371.0625,1886.625,599.4375,1782.375,534.1875,38.78,39.21
7.1,1503.1875,363.1875,2365.5,371.0625,1886.625,599.25,1782.1875,533.4375,38.82,39.19
7.2,1503.1875,363.375,2365.5,371.25,1886.8125,599.4375,1782,534.375,38.76,39.17
7.3,1503.1875,363.1875,2365.5,371.25,1886.8125,599.4375,1782,536.0625,38.8,39.15
7.4,1503,363.375,2365.5,371.25,1886.625,599.625,1782,537.375,38.79,39.19
7.5,1503.1875,363.1875,2365.5,371.0625,1886.625,599.625,1782,537.9375,38.79,39.22
