time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1436.625,317.4375,2396.625,357.375,1843.3125,597.1875,1749.5625,537.375,37.38,39.99
0.1,1436.625,317.4375,2396.625,357.375,1843.3125,597.1875,1749.5625,537,37.38,39.95
0.2,1436.625,317.4375,2396.625,357.375,1843.3125,597.1875,1749.5625,537.75,37.37,39.96
0.3,1436.625,317.4375,2396.4375,357.375,1843.3125,597.375,1749.5625,537.375,37.37,39.98
0.4,1436.625,317.4375,2396.4375,357.375,1843.3125,597.1875,1749.375,537.1875,37.35,39.97
0.5,1436.625,317.4375,2396.4375,357.375,1843.3125,597.1875,1749.375,537.375,37.38,39.98
0.6,1436.625,317.4375,2396.4375,357.375,1843.3125,597.1875,1749.375,537.1875,37.38,39.95
0.7,1436.625,317.4375,2396.4375,357.375,1843.3125,597.1875,1749.5625,537.375,37.38,39.99
0.8,1436.625,317.4375,2396.4375,357.5625,1843.3125,597,1749.5625,537.1875,37.37,39.95
0.9,1436.625,317.4375,2396.4375,357.5625,1843.3125,597,1749.1875,537,37.39,39.99
1.0,1436.8125,317.4375,2396.4375,357.375,1843.3125,597,1749.375,537.9375,37.39,39.99
1.1,1436.625,317.4375,2396.4375,357.375,1843.3125,597.1875,1749.375,537.9375,37.37,39.95
1.2,1436.625,317.4375,2396.4375,357.375,1843.3125,597,1749.5625,537.375,37.38,40.01
1.3,1436.8125,317.4375,2396.625,357.375,1843.3125,597,1749.5625,537,37.39,40.04
1.4,1436.8125,317.4375,2396.625,357.375,1843.3125,597.1875,1749.5625,537.5625,37.39,40.01
1.5,1436.625,317.4375,2396.625,357.5625,1843.3125,597.1875,1749.5625,537.75,37.39,40.02
1.6,1436.8125,317.4375,2396.4375,357.375,1843.3125,597.1875,1749.5625,536.625,37.38,39.98
1.7,1436.8125,317.4375,2396.4375,357.375,1843.5,597,1749.5625,537.75,37.35,39.97
1.8,1436.8125,317.4375,2396.4375,357.5625,1843.5,597.1875,1749.5625,537.9375,37.37,39.99
1.9,1436.8125,317.4375,2396.625,357.5625,1843.5,597.1875,1749.5625,537.9375,37.39,40.01
