time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1591.5,306.375,2477.8125,389.25,2166.375,632.8125,1961.625,531.75,38.97,45.52
0.1,1591.5,306.375,2478,389.25,2166.375,632.625,1961.625,531,38.92,46.23
0.2,1591.3125,306.375,2478,389.25,2166.375,632.8125,1961.625,530.4375,38.9,46.23
0.3,1591.125,306.1875,2478,389.25,2166.375,632.625,1961.4375,531.75,38.93,46.18
0.4,1591.125,306.375,2478.1875,389.25,2166.375,632.625,1961.4375,531.1875,38.92,46.22
0.5,1591.125,306.1875,2478,389.25,2166.1875,632.8125,1961.25,530.625,38.9,46.21
0.6,1591.3125,306.375,2478,389.25,2166,632.8125,1961.25,531.5625,38.95,46.26
0.7,1591.3125,306.375,2478.1875,389.25,2166,632.625,1961.25,532.5,38.92,46.22
0.8,1591.3125,306.375,2478.1875,389.25,2166,632.8125,1961.25,532.125,38.92,46.24
0.9,1591.3125,306.375,2478.1875,389.25,2166,632.8125,1961.625,532.3125,38.9,46.24
1.0,1591.125,306.375,2478.1875,389.25,2165.8125,632.8125,1961.4375,532.5,38.92,46.23
1.1,1591.3125,306.375,2478.1875,389.0625,2165.8125,632.625,1961.625,532.125,38.93,46.22
1.2,1591.3125,306.375,2478,389.25,2166,632.625,1961.25,532.5,38.92,46.24
1.3,1591.125,306.375,2478.1875,389.25,2165.8125,632.625,1961.25,532.3125,38.95,46.26
1.4,1591.3125,306.375,2478.1875,389.0625,2165.625,632.625,1961.4375,532.6875,38.93,46.23
1.5,1591.3125,306.375,2478.1875,389.25,2165.625,632.625,1961.4375,532.6875,38.9,46.2
1.6,1591.125,306.375,2478.1875,389.0625,2165.625,632.625,1961.625,532.875,38.9,46.23
1.7,1591.3125,306.1875,2478.1875,389.0625,2165.625,632.4375,1961.4375,532.5,38.92,46.23
1.8,1591.125,306.375,2478.1875,389.0625,2165.625,632.4375,1961.4375,532.6875,38.93,46.23
1.9,1591.125,306.1875,2478.1875,389.0625,2165.625,632.625,1961.625,532.3125,38.93,46.22
2.0,1591.3125,306.375,2478.1875,389.25,2165.625,632.625,1961.625,532.5,38.93,46.22
2.1,1591.3125,306.375,2478.1875,389.0625,2165.625,632.625,1961.625,532.6875,38.92,46.2
2.2,1591.125,306.1875,2478.375,389.0625,2165.625,632.4375,1961.625,532.3125,38.93,46.18
2.3,1591.125,306.1875,2478.1875,389.0625,2165.4375,632.4375,1961.8125,531.75,38.93,46.16
2.4,1591.125,306.1875,2478.1875,389.25,2165.625,632.4375,1962,532.3125,38.95,46.2
2.5,1591.125,306.1875,2478.1875,389.25,2165.625,632.625,1962,533.25,38.95,46.2
2.6,1591.125,306.1875,2478.375,389.25,2165.4375,632.625,1962,531.9375,38.93,46.18
2.7,1591.125,306.1875,2478.375,389.0625,2165.4375,632.4375,1961.8125,531.375,38.96,46.18
