time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1457.8125,260.625,2286.5625,357.5625,2247.5625,807,1667.0625,542.0625,35.79,36.51
0.1,1458,260.625,2286.5625,357.75,2247.5625,807,1667.25,541.6875,35.76,36.48
0.2,1457.8125,260.625,2286.5625,357.75,2247.5625,807,1667.25,541.3125,35.77,36.48
0.3,1457.8125,260.8125,2286.5625,357.5625,2247.75,807,1667.0625,542.625,35.77,36.48
0.4,1458,260.8125,2286.5625,357.5625,2247.5625,807.1875,1667.0625,541.875,35.76,36.48
0.5,1458,260.625,2286.5625,357.5625,2247.75,807,1667.0625,540.9375,35.79,36.51
0.6,1458,260.8125,2286.75,357.5625,2247.75,807.1875,1667.0625,542.4375,35.76,36.44
0.7,1457.8125,260.8125,2286.5625,357.5625,2247.75,807.1875,1667.25,541.6875,35.77,36.47
0.8,1458,260.8125,2286.5625,357.5625,2247.75,807.375,1667.4375,542.25,35.79,36.5
0.9,1458,260.8125,2286.75,357.75,2247.9375,807.1875,1667.0625,542.0625,35.79,36.45
1.0,1458,260.8125,2286.75,357.5625,2247.75,807.1875,1667.0625,541.3125,35.77,36.48
1.1,1458.1875,260.625,2286.75,357.5625,2247.75,807.1875,1666.875,542.0625,35.75,36.54
1.2,1458.1875,260.625,2286.5625,357.5625,2247.5625,807.1875,1667.0625,541.3125,35.79,36.5
1.3,1458.1875,260.625,2286.75,357.75,2247.75,807.375,1667.0625,541.125,35.77,36.51
1.4,1458,260.8125,2286.75,357.75,2247.75,807.1875,1667.0625,541.3125,35.79,36.48
1.5,1458.1875,260.625,2286.75,357.75,2247.75,807.375,1667.0625,541.3125,35.77,36.53
1.6,1458.1875,260.625,2286.75,357.75,2247.75,807.375,1667.25,540.75,35.79,36.48
1.7,1458.1875,260.8125,2286.9375,357.5625,2247.9375,807.375,1667.25,541.3125,35.77,36.51
1.8,1458.1875,260.625,2286.75,357.5625,2247.9375,807.375,1667.25,541.3125,35.79,36.45
1.9,1458.1875,260.8125,2286.9375,357.75,2247.9375,807.375,1667.25,541.3125,35.77,36.5
2.0,1458.1875,260.625,2286.75,357.5625,2247.9375,807.375,1667.0625,541.3125,35.77,36.5
2.1,1458.1875,260.625,2286.9375,357.5625,2247.75,807.375,1667.0625,541.3125,35.79,36.5
2.2,1458.1875,260.8125,2286.9375,357.75,2247.9375,807.375,1667.25,541.3125,35.79,36.51
2.3,1458.1875,260.625,2286.9375,357.75,2247.9375,807.375,1667.25,541.6875,35.77,36.53
2.4,1458.1875,260.625,2286.75,357.75,2247.9375,807.375,1667.25,540.75,35.79,36.47
2.5,1458.1875,260.8125,2286.9375,357.5625,2247.9375,807.5625,1667.25,540.375,35.8,36.5
2.6,1458.1875,260.8125,2286.9375,357.75,2247.9375,807.5625,1667.4375,541.3125,35.79,36.54
2.7,1458.1875,260.625,2286.9375,357.5625,2248.125,807.5625,1667.625,540.75,35.77,36.5
2.8,1458.375,260.625,2286.9375,357.5625,2248.125,807.5625,1667.625,540.75,35.79,36.51
2.9,1458.1875,260.8125,2286.9375,357.5625,2248.125,807.5625,1667.625,541.3125,35.76,36.53
3.0,1458.375,260.8125,2286.9375,357.5625,2248.125,807.5625,1667.625,540.75,35.77,36.5
3.1,1458.375,260.625,2286.9375,357.75,2248.125,807.5625,1667.4375,540.75,35.77,36.53
3.2,1458.375,260.8125,2286.9375,357.75,2248.125,807.5625,1667.625,541.3125,35.79,36.51
3.3,1458.375,260.625,2287.125,357.5625,2248.125,807.375,1667.625,540.375,35.79,36.51
3.4,1458.375,260.8125,2286.9375,357.5625,2248.125,807.5625,1667.625,540.375,35.77,36.5
3.5,1458.375,260.8125,2287.125,357.5625,2248.125,807.375,1667.4375,540.75,35.79,36.45
3.6,1458.375,260.8125,2287.125,357.5625,2248.125,807.375,1667.4375,540.75,35.8,36.51
3.7,1458.375,260.8125,2286.9375,357.75,2248.125,807.375,1667.4375,540.375,35.77,36.5
3.8,1458.375,260.8125,2287.3125,357.5625,2248.125,807.5625,1667.4375,541.3125,35.79,36.5
3.9,1458.375,260.8125,2287.125,357.5625,2248.125,807.375,1667.25,540.75,35.79,36.5
4.0,1458.375,260.8125,2287.3125,357.5625,2247.9375,807.5625,1667.4375,539.4375,35.79,36.44
4.1,1458.5625,260.8125,2287.3125,357.5625,2248.125,807.5625,1667.625,539.8125,35.8,36.54
4.2,1458.375,260.8125,2287.3125,357.5625,2248.125,807.5625,1667.625,539.4375,35.77,36.44
4.3,1458.375,260.625,2287.3125,357.5625,2248.125,807.375,1667.625,539.8125,35.77,36.53
4.4,1458.5625,260.8125,2287.3125,357.5625,2248.3125,807.5625,1667.8125,539.4375,35.77,36.56
4.5,1458.5625,260.8125,2287.3125,357.5625,2248.3125,807.5625,1667.625,539.8125,35.79,36.48
4.6,1458.5625,260.8125,2287.125,357.5625,2248.3125,807.5625,1667.625,540.1875,35.79,36.48
4.7,1458.5625,260.8125,2287.3125,357.5625,2248.3125,807.5625,1667.625,538.875,35.79,36.5
4.8,1458.5625,260.625,2287.3125,357.5625,2248.3125,807.5625,1667.625,539.25,35.8,36.51
4.9,1458.5625,260.625,2287.3125,357.5625,2248.3125,807.5625,1667.625,540.1875,35.79,36.5
5.0,1458.5625,260.8125,2287.3125,357.5625,2248.3125,807.5625,1667.8125,538.875,35.77,36.54
5.1,1458.5625,260.8125,2287.3125,357.5625,2248.3125,807.5625,1667.8125,538.875,35.77,36.45
5.2,1458.5625,260.8125,2287.3125,357.75,2248.3125,807.5625,1667.8125,539.8125,35.79,36.53
5.3,1458.5625,260.8125,2287.3125,357.5625,2248.5,807.5625,1667.8125,539.4375,35.79,36.5
