time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1244.4375,307.5,2336.4375,319.5,1384.6875,350.25,1729.5,535.875,37.24,42.57
0.1,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.5,536.0625,37,42.85
0.2,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.6875,534.75,37,42.86
0.3,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.5,535.3125,36.98,42.86
0.4,1244.4375,307.3125,2336.25,319.5,1384.6875,350.4375,1729.6875,535.125,37,42.89
0.5,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.5,534.1875,37.01,42.82
0.6,1244.4375,307.3125,2336.25,319.5,1384.6875,350.4375,1729.5,534,36.98,42.85
0.7,1244.4375,307.3125,2336.25,319.5,1384.6875,350.4375,1729.6875,535.125,36.98,42.82
0.8,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.5,533.8125,37.01,42.84
0.9,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.6875,534.375,37,42.84
1.0,1244.4375,307.3125,2336.4375,319.3125,1384.6875,350.4375,1729.6875,534,37,42.84
1.1,1244.4375,307.3125,2336.25,319.5,1384.5,350.25,1729.6875,535.3125,37.01,42.82
1.2,1244.4375,307.3125,2336.25,319.5,1384.5,350.4375,1729.6875,534.1875,36.98,42.85
1.3,1244.4375,307.3125,2336.25,319.3125,1384.6875,350.25,1729.875,534,37,42.82
1.4,1244.625,307.3125,2336.25,319.5,1384.6875,350.25,1729.875,534.5625,37.01,42.84
1.5,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.6875,534,37,42.81
1.6,1244.625,307.3125,2336.25,319.5,1384.6875,350.25,1729.875,534.75,37.03,42.85
1.7,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.6875,534.5625,37.01,42.84
1.8,1244.4375,307.3125,2336.25,319.5,1384.6875,350.25,1729.875,534.375,36.98,42.84
1.9,1244.4375,307.3125,2336.0625,319.5,1384.6875,350.25,1729.875,533.8125,37,42.81
2.0,1244.4375,307.3125,2336.25,319.3125,1384.6875,350.25,1729.6875,534.75,37,42.85
2.1,1244.4375,307.3125,2336.25,319.3125,1384.6875,350.25,1729.875,534.375,37,42.82
2.2,1244.4375,307.3125,2336.25,319.3125,1384.6875,350.25,1729.6875,534.75,37,42.84
2.3,1244.4375,307.3125,2336.25,319.3125,1384.6875,350.25,1729.6875,534.375,37,42.85
2.4,1244.4375,307.3125,2336.25,319.3125,1384.6875,350.25,1729.6875,534.375,37.03,42.81
2.5,1244.4375,307.125,2336.25,319.5,1384.6875,350.25,1729.5,534.9375,37.01,42.79
2.6,1244.4375,307.3125,2336.4375,319.5,1384.6875,350.25,1729.5,534.75,37,42.82
2.7,1244.4375,307.3125,2336.25,319.5,1384.5,350.0625,1729.5,534.75,37.01,42.82
2.8,1244.4375,307.3125,2336.25,319.5,1384.5,350.0625,1729.5,534.5625,37.03,42.83
2.9,1244.4375,307.3125,2336.25,319.3125,1384.5,350.0625,1729.5,534.5625,37,42.81
3.0,1244.625,307.3125,2336.25,319.5,1384.5,350.25,1729.5,534,37.01,42.82
3.1,1244.4375,307.3125,2336.4375,319.5,1384.5,350.25,1729.3125,535.3125,37.03,42.83
3.2,1244.625,307.3125,2336.25,319.5,1384.6875,350.25,1729.5,535.3125,37.01,42.82
3.3,1244.625,307.3125,2336.25,319.5,1384.5,350.0625,1729.5,534.75,37.01,42.79
3.4,1244.625,307.3125,2336.4375,319.5,1384.5,350.25,1729.6875,535.6875,37.01,42.81
3.5,1244.625,307.3125,2336.4375,319.5,1384.5,350.25,1729.6875,535.6875,37,42.82
3.6,1244.625,307.3125,2336.4375,319.5,1384.6875,350.0625,1729.5,535.6875,36.98,42.75
3.7,1244.625,307.3125,2336.25,319.5,1384.6875,350.25,1729.6875,535.875,37,42.85
3.8,1244.4375,307.3125,2336.4375,319.5,1384.6875,350.25,1729.6875,535.875,37.03,42.84
3.9,1244.625,307.3125,2336.4375,319.5,1384.5,350.25,1729.5,534.9375,37.03,42.81
4.0,1244.625,307.3125,2336.4375,319.5,1384.5,350.0625,1729.5,536.0625,37.01,42.79
4.1,1244.625,307.3125,2336.4375,319.5,1384.5,350.25,1729.6875,535.3125,37,42.81
4.2,1244.625,307.3125,2336.4375,319.5,1384.5,350.25,1729.6875,536.0625,37.01,42.82
4.3,1244.625,307.3125,2336.4375,319.5,1384.5,350.25,1729.5,536.0625,37,42.79
