time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1425.5625,356.4375,2412.5625,343.6875,1379.4375,603.5625,1916.8125,536.25,37.39,44.6
0.1,1425.75,356.25,2412.5625,343.6875,1379.25,603.5625,1916.25,534.9375,37.3,44.46
0.2,1425.75,356.25,2412.5625,343.6875,1379.25,603.5625,1916.25,535.3125,37.32,44.45
0.3,1425.5625,356.25,2412.5625,343.875,1379.0625,603.375,1916.25,535.3125,37.31,44.44
0.4,1425.5625,356.25,2412.5625,343.875,1379.0625,603.375,1915.875,535.5,37.31,44.47
0.5,1425.5625,356.25,2412.5625,343.875,1378.875,603.375,1915.6875,535.3125,37.31,44.37
0.6,1425.5625,356.25,2412.5625,343.875,1378.875,603.1875,1915.5,535.3125,37.32,44.46
0.7,1425.5625,356.25,2412.5625,343.875,1378.875,603.1875,1915.5,535.125,37.32,44.52
0.8,1425.5625,356.25,2412.5625,343.875,1378.6875,603.1875,1915.5,536.625,37.31,44.43
0.9,1425.5625,356.25,2412.5625,343.875,1378.6875,603.1875,1915.5,536.25,37.3,44.44
1.0,1425.5625,356.25,2412.75,343.875,1378.6875,603.1875,1915.5,536.625,37.31,44.44
1.1,1425.75,356.25,2412.5625,343.875,1378.6875,603.1875,1915.5,537,37.32,44.45
1.2,1425.5625,356.25,2412.5625,343.875,1378.6875,603.1875,1915.3125,536.625,37.34,44.43
1.3,1425.5625,356.25,2412.5625,343.875,1378.6875,603,1914.9375,536.25,37.32,44.42
1.4,1425.5625,356.0625,2412.5625,343.875,1378.6875,603,1915.125,536.0625,37.32,44.42
1.5,1425.5625,356.25,2412.5625,343.875,1378.6875,603,1914.9375,536.4375,37.34,44.43
1.6,1425.5625,356.25,2412.75,343.875,1378.6875,603,1915.125,536.25,37.32,44.45
1.7,1425.5625,356.0625,2412.75,343.875,1378.6875,603,1914.75,537.9375,37.32,44.42
1.8,1425.5625,356.25,2412.75,343.875,1378.5,602.8125,1914.75,537.1875,37.32,44.39
1.9,1425.75,356.25,2412.75,343.875,1378.5,602.8125,1914.375,538.125,37.31,44.46
2.0,1425.5625,356.25,2412.75,343.875,1378.5,602.8125,1914.5625,538.125,37.34,44.41
2.1,1425.5625,356.25,2412.9375,343.6875,1378.3125,602.8125,1914.375,538.6875,37.34,44.43
2.2,1425.5625,356.25,2412.75,343.875,1378.3125,602.625,1914.1875,537.75,37.34,44.42
2.3,1425.5625,356.25,2412.75,343.875,1378.3125,602.8125,1914.375,538.6875,37.31,44.46
2.4,1425.5625,356.25,2412.75,343.875,1378.3125,602.8125,1914.1875,538.3125,37.32,44.36
2.5,1425.75,356.25,2412.75,343.875,1378.125,602.8125,1914.1875,538.6875,37.34,44.45
