Time,MQ2,MQ4,MQ6,MQ9,MQ135,MQ136,MQ137,MQ138,Class
0,747.52,547.386666666667,709.466666666667,723.026666666667,836.473333333333,458.14,391.746666666667,649.84,0
0.1,719.52,397.726666666667,640.506666666667,619.173333333333,645.986666666667,451.553333333333,379.306666666667,582.82,0
0.2,582.933333333333,433.546666666667,690.386666666667,661.093333333333,712.813333333333,475.553333333333,383.833333333333,654.36,0
0.3,646.04,602.646666666667,718.673333333333,736.613333333333,840.826666666667,407.113333333333,362.693333333333,592.64,0
0.4,742.32,537.706666666667,699.706666666667,711.333333333333,832.066666666667,465.1,391.9,642.293333333333,0
0.5,746.78,542.573333333333,706.433333333333,719.166666666667,833.926666666667,464.973333333333,394.8,648.42,0
0.6,578.52,472.566666666667,638.806666666667,664,764.54,461.766666666667,393.186666666667,641.526666666667,0
0.7,624.72,473.2,640.54,674.88,783.533333333333,420.7,376.24,586.866666666667,0
0.8,809.386666666667,520.293333333333,691.08,694.84,759.853333333333,492.506666666667,404.953333333333,623.826666666667,0
0.9,576.346666666667,501.646666666667,667.62,703.713333333333,789.286666666667,462.153333333333,388.566666666667,587.406666666667,0
1,809.833333333333,470.56,653.873333333333,665.12,778.993333333333,428.186666666667,370.726666666667,615.833333333333,0
1.1,791.713333333333,463.1,620.08,695.326666666667,803.18,474.953333333333,396.86,609.053333333333,0
1.2,795.92,470.313333333333,631.746666666667,716.726666666667,789.28,464.68,393.026666666667,623.353333333333,0
1.3,723.52,403.846666666667,640.84,632.3,664.433333333333,450.606666666667,378.7,591.493333333333,0
1.4,644.813333333333,601.646666666667,721.02,734.473333333333,839.693333333333,410.08,363.48,591.913333333333,0
1.5,591.32,514.846666666667,674.193333333333,710.986666666667,809.1,455.186666666667,385.446666666667,600.746666666667,0
1.6,809.246666666667,482.953333333333,658.873333333333,663.6,798.706666666667,425.733333333333,371.406666666667,623.253333333333,0
1.7,808.393333333333,487.106666666667,659.306666666667,672.26,806.693333333333,420.593333333333,368.166666666667,625.653333333333,0
1.8,611.266666666667,483.586666666667,647.36,680.26,787.786666666667,448.666666666667,391.926666666667,653.766666666667,0
1.9,773.187919463087,579.697986577181,734.691275167785,748.335570469799,849,467.731543624161,397,670.127516778524,0
2,723.62,404.78,640.846666666667,637.313333333333,668.026666666667,443.126666666667,375.153333333333,593.033333333333,0
2.1,639.046666666667,480.593333333333,711.906666666667,711.773333333333,771.906666666667,458.06,375.026666666667,675.113333333333,0
2.2,617.006666666667,488.606666666667,645.133333333333,685.753333333333,793.553333333333,439.8,381.74,658.76,0
2.3,639.386666666667,481.86,718.18,712.52,786.74,444.153333333333,371.026666666667,675.26,0
2.4,717.42,407.32,640.093333333333,643.14,671.52,441.18,373.466666666667,591.8,0
2.5,618.013333333333,492.64,646.906666666667,688.353333333333,796.186666666667,435.92,379.566666666667,662.553333333333,0
2.6,795.066666666667,476.686666666667,635.586666666667,720.12,798.206666666667,459.873333333333,390.04,624.513333333333,0
2.7,795.54,487.046666666667,636.16,706.52,814.12,470.126666666667,392.293333333333,624.72,0
2.8,641.646666666667,485.42,717.82,712.966666666667,783.28,450.7,373,676.973333333333,0
2.9,615.58,465.04,697.233333333333,707.54,759.046666666667,458.28,372.486666666667,666.76,0
3,795.826666666667,499.56,639.006666666667,714.006666666667,818.82,476.16,400.46,632.393333333333,0
3.1,713.88,411.126666666667,639.8,649.553333333333,675.826666666667,440.913333333333,374.04,592.506666666667,0
3.2,484.1,474.906666666667,612.7,619.206666666667,710.38,582.893333333333,460.68,612.566666666667,0
3.3,518.106666666667,505.24,632.513333333333,647.666666666667,736.12,567.566666666667,454.986666666667,639.273333333333,0
3.4,561.313333333333,548.153333333333,662.6,679.086666666667,760.86,578.546666666667,462.453333333333,665.233333333333,0
3.5,524.753333333333,518.92,646.606666666667,656.2,748.753333333333,532.126666666667,435.126666666667,639.226666666667,0
3.6,308.686666666667,359.26,475.92,607.853333333333,737.586666666667,480.693333333333,396.426666666667,556.24,0
3.7,308.973333333333,338.233333333333,469.98,594.8,733.14,485.12,401.113333333333,539.506666666667,0
